id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
29470;S_003C_COMMUNAL;50,140000000000000;14,100000000000000;Václava Rabase 879;Kladno;27201;5000;communal;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29471;S_003C_QS02200138;50,140000000000000;14,100000000000000;Václava Rabase 879;Kladno;27201;5000;plastic;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29472;S_003C_QS02200162;50,140000000000000;14,100000000000000;Václava Rabase 879;Kladno;27201;5000;paper;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29473;S_003C_QS02200159;50,140000000000000;14,100000000000000;Václava Rabase 879;Kladno;27201;3000;glass;2019-02-09 23:10:15;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29474;S_004C_QS0220012E;50,140000000000000;14,100000000000000;Václava Rabase 857;Kladno;27201;5000;communal;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29475;S_004C_QS0220012F;50,140000000000000;14,100000000000000;Václava Rabase 857;Kladno;27201;3000;glass;2019-03-20 21:26:15;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29476;S_001C_QS02200180;50,130000000000000;14,120000000000000;Americká ;Kladno;27201;5000;plastic;2019-02-02 00:03:07;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29477;S_001C_QS02200160;50,130000000000000;14,120000000000000;Americká ;Kladno;27201;5000;communal;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29478;S_002C_GLASS;50,130000000000000;14,120000000000000;U Tržnice ;Kladno;27201;3000;glass;2019-03-05 01:27:14;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29479;S_002C_QS02200158;50,130000000000000;14,120000000000000;U Tržnice ;Kladno;27201;5000;plastic;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29480;S_002C_QS02200151;50,130000000000000;14,120000000000000;U Tržnice ;Kladno;27201;5000;paper;2019-03-05 20:40:33;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29481;S_002C_QS0220015E;50,130000000000000;14,120000000000000;U Tržnice ;Kladno;27201;3000;glass;2019-03-13 00:39:21;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29482;S_001C_PAPER;50,130000000000000;14,120000000000000;Americká ;Kladno;27201;5000;paper;;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
29483;S_004C_PLASTIC;50,140000000000000;14,100000000000000;Václava Rabase 857;Kladno;27201;5000;plastic;2019-02-04 01:39:39;;;2019-03-05 01:01:12.193000000;2019-03-05 01:01:12.680000000;4840198;4840198
